"ID","NAME","STATUS","PREFIXES AS URL","PREFIXES AS LRU","HOME PAGE","CRAWLED","CRAWLING STATUS","INDEXING STATUS","INDEGREE","CREATION TIMESTAMP","CREATION DATE","LAST MODIFICATION TIMESTAMP","LAST MODIFICATION DATE","createdBy (TECHNICAL INFO)"
"1","3step.me","IN","http://3step.me http://www.3step.me https://3step.me https://www.3step.me","s:https|h:me|h:3step| s:https|h:me|h:3step|h:www| s:http|h:me|h:3step| s:http|h:me|h:3step|h:www|","http://3step.me/login.html","true","FINISHED","FINISHED","0","1516346689568","2018-01-19 08:24:49","1516346699870","2018-01-19 08:24:59","user via lru"
"2","Abadboy.com","IN","http://abadboy.com http://www.abadboy.com https://abadboy.com https://www.abadboy.com","s:https|h:com|h:abadboy| s:https|h:com|h:abadboy|h:www| s:http|h:com|h:abadboy| s:http|h:com|h:abadboy|h:www|","http://www.abadboy.com/amateur","true","FINISHED","FINISHED","1","1516346689578","2018-01-19 08:24:49","1516346699876","2018-01-19 08:24:59","user via lru"
"3","Bit.ly","IN","http://bit.ly http://www.bit.ly https://bit.ly https://www.bit.ly","s:https|h:ly|h:bit| s:https|h:ly|h:bit|h:www| s:http|h:ly|h:bit| s:http|h:ly|h:bit|h:www|","http://bit.ly/24qQV7d","true","FINISHED","FINISHED","0","1516346689582","2018-01-19 08:24:49","1516346699874","2018-01-19 08:24:59","user via lru"
"4","Dmm.com","IN","http://dmm.com http://www.dmm.com https://dmm.com https://www.dmm.com","s:https|h:com|h:dmm| s:https|h:com|h:dmm|h:www| s:http|h:com|h:dmm| s:http|h:com|h:dmm|h:www|","http://help.dmm.com/-/detail/%3D/qid%3D10105/","true","FINISHED","FINISHED","0","1516346689584","2018-01-19 08:24:49","1516346699918","2018-01-19 08:24:59","user via lru"
"5","Bnent.jp","IN","http://bnent.jp http://www.bnent.jp https://bnent.jp https://www.bnent.jp","s:https|h:jp|h:bnent| s:https|h:jp|h:bnent|h:www| s:http|h:jp|h:bnent| s:http|h:jp|h:bnent|h:www|","http://bnent.jp/optc-den2e/","true","FINISHED","FINISHED","0","1516346689585","2018-01-19 08:24:49","1516346699924","2018-01-19 08:24:59","user via lru"
"6","Ebay.co.uk","IN","http://ebay.co.uk http://www.ebay.co.uk https://ebay.co.uk https://www.ebay.co.uk","s:https|h:co.uk|h:ebay| s:https|h:co.uk|h:ebay|h:www| s:http|h:co.uk|h:ebay| s:http|h:co.uk|h:ebay|h:www|","https://pages.ebay.co.uk/help/policies/privacy-policy.html","true","FINISHED","FINISHED","0","1516346689588","2018-01-19 08:24:49","1516346699931","2018-01-19 08:24:59","user via lru"
"10","Gigam.es","IN","http://gigam.es http://www.gigam.es https://gigam.es https://www.gigam.es","s:https|h:es|h:gigam| s:https|h:es|h:gigam|h:www| s:http|h:es|h:gigam| s:http|h:es|h:gigam|h:www|","http://gigam.es/etw_Tribez","true","FINISHED","FINISHED","0","1516346689628","2018-01-19 08:24:49","1516346700002","2018-01-19 08:25:00","user via lru"
"8","Fllwrs.com","IN","http://fllwrs.com http://www.fllwrs.com https://fllwrs.com https://www.fllwrs.com","s:https|h:com|h:fllwrs| s:https|h:com|h:fllwrs|h:www| s:http|h:com|h:fllwrs| s:http|h:com|h:fllwrs|h:www|","http://fllwrs.com/testimonials","true","FINISHED","FINISHED","0","1516346689614","2018-01-19 08:24:49","1516346699959","2018-01-19 08:24:59","user via lru"
"9","Euroboys.com","IN","http://euroboys.com http://www.euroboys.com https://euroboys.com https://www.euroboys.com","s:https|h:com|h:euroboys| s:https|h:com|h:euroboys|h:www| s:http|h:com|h:euroboys| s:http|h:com|h:euroboys|h:www|","http://www.euroboys.com","true","FINISHED","FINISHED","1","1516346689618","2018-01-19 08:24:49","1516346699978","2018-01-19 08:24:59","user via lru"
"7","Elevate-Apparel.com","IN","http://elevate-apparel.com http://www.elevate-apparel.com https://elevate-apparel.com https://www.elevate-apparel.com","s:https|h:com|h:elevate-apparel| s:https|h:com|h:elevate-apparel|h:www| s:http|h:com|h:elevate-apparel| s:http|h:com|h:elevate-apparel|h:www|","https://elevate-apparel.com","true","FINISHED","FINISHED","0","1516346689610","2018-01-19 08:24:49","1516346699951","2018-01-19 08:24:59","user via lru"
